,City Name,Longitude,Latitude,Temperature (f),Humidity,Cloudiness,Wind Speed (mph)
0,Nikolskoye,30.79,59.7,37.4,95,90,6.71
1,Blagoveshchenka,79.87,52.83,38.5,68,100,16.84
2,Port Alfred,26.89,-33.59,64.72,83,56,19.89
3,Bengkulu,102.27,-3.8,76.26,84,100,4.63
4,Palmer,-72.33,42.16,62.6,59,75,4.7
5,Vila Franca do Campo,-25.43,37.72,57.2,87,40,10.29
6,Tura,90.22,25.52,71.49,88,0,3.18
7,Busselton,115.33,-33.65,55.0,74,1,9.57
8,Faanui,-151.75,-16.48,79.09,81,1,18.43
9,Saint-Philippe,55.77,-21.36,69.8,68,20,3.36
10,Ushuaia,-68.3,-54.8,39.2,80,75,35.57
11,Kangaatsiaq,-53.46,68.31,38.35,76,100,13.71
12,Mataura,168.86,-46.19,46.99,84,68,14.0
13,Kapaa,-159.32,22.08,84.99,78,75,17.22
14,Saint Paul Harbor,-152.41,57.79,46.4,65,90,4.7
15,Cape Town,18.42,-33.93,60.01,87,75,9.17
16,Albany,-73.97,42.6,59.0,75,100,4.12
17,Haines Junction,-137.51,60.75,30.67,73,100,1.19
18,Borovoy,86.08,55.43,32.0,89,40,8.95
19,Barrow,-156.79,71.29,21.2,85,90,10.29
20,Rocha,-54.33,-34.48,69.08,86,21,4.59
21,Khatanga,102.5,71.97,8.33,96,22,1.05
22,Lewistown,-77.57,40.6,57.0,100,75,0.94
23,Jamestown,-79.24,42.1,52.0,93,90,5.82
24,Hithadhoo,73.08,-0.6,82.62,77,100,12.17
25,Punta Arenas,-70.92,-53.15,42.8,72,20,34.45
26,New Norfolk,147.06,-42.78,52.0,78,56,4.0
27,Atuona,-139.03,-9.8,78.46,76,0,17.4
28,Avarua,-159.78,-21.21,80.6,78,6,6.93
29,Trincomalee,81.23,8.57,80.24,78,56,16.37
30,Visnes,5.22,59.36,46.4,100,100,18.34
31,West Bay,-81.42,19.37,82.99,78,20,4.7
32,Butaritari,172.79,3.07,82.09,76,76,11.14
33,Katsuura,140.3,35.13,57.2,71,100,19.46
34,Tateyama,139.87,34.98,57.2,71,100,19.46
35,Tiksi,128.87,71.69,14.54,93,100,22.95
36,Dikson,80.55,73.51,23.88,95,98,17.54
37,Rikitea,-134.97,-23.12,74.28,78,0,12.5
38,Cidreira,-50.21,-30.18,68.0,90,0,14.38
